"","region","supplysector","subsector0","subsector","year","lifetime","steepness","half.life","stub.technology"
"213","AL","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (once through)"
"214","AL","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (recirculating)"
"215","AL","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (cooling pond)"
"216","AL","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (dry cooling)"
"217","AL","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (once through)"
"218","AL","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (recirculating)"
"219","AL","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (cooling pond)"
"220","AL","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (dry cooling)"
"221","AR","base load generation","coal","coal_base_conv pul 1976-1980",2015,44,0.3,38,"coal (conv pul) (once through)"
"222","AR","base load generation","coal","coal_base_conv pul 1976-1980",2015,44,0.3,38,"coal (conv pul) (recirculating)"
"223","AR","base load generation","coal","coal_base_conv pul 1976-1980",2015,44,0.3,38,"coal (conv pul) (cooling pond)"
"224","AR","base load generation","coal","coal_base_conv pul 1976-1980",2015,44,0.3,38,"coal (conv pul) (dry cooling)"
"225","AR","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,44,0.3,38,"coal (conv pul) (once through)"
"226","AR","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,44,0.3,38,"coal (conv pul) (recirculating)"
"227","AR","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,44,0.3,38,"coal (conv pul) (cooling pond)"
"228","AR","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,44,0.3,38,"coal (conv pul) (dry cooling)"
"229","AR","base load generation","coal","coal_base_conv pul 1981-1985",2015,48,0.3,42,"coal (conv pul) (once through)"
"230","AR","base load generation","coal","coal_base_conv pul 1981-1985",2015,48,0.3,42,"coal (conv pul) (recirculating)"
"231","AR","base load generation","coal","coal_base_conv pul 1981-1985",2015,48,0.3,42,"coal (conv pul) (cooling pond)"
"232","AR","base load generation","coal","coal_base_conv pul 1981-1985",2015,48,0.3,42,"coal (conv pul) (dry cooling)"
"233","AR","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,48,0.3,42,"coal (conv pul) (once through)"
