"","region","supplysector","subsector","stub.technology","year","capacity.factor"
"307","CT","base load generation","wind","wind_base",2025,0.44
"308","DE","base load generation","wind","wind_base",2025,0.33
"309","FL","base load generation","wind","wind_base",2025,0.38
"310","GA","base load generation","wind","wind_base",2025,0.24
"311","HI","base load generation","wind","wind_base",2025,0.29
"312","IA","base load generation","wind","wind_base",2025,0.33
"313","ID","base load generation","wind","wind_base",2025,0.26
"314","IL","base load generation","wind","wind_base",2025,0.38
"315","IN","base load generation","wind","wind_base",2025,0.32
"316","KS","base load generation","wind","wind_base",2025,0.35
"317","KY","base load generation","wind","wind_base",2025,0.26
"318","LA","base load generation","wind","wind_base",2025,0.41
"319","MA","base load generation","wind","wind_base",2025,0.44
"320","MD","base load generation","wind","wind_base",2025,0.37
"321","ME","base load generation","wind","wind_base",2025,0.41
"322","MI","base load generation","wind","wind_base",2025,0.45
"323","MN","base load generation","wind","wind_base",2025,0.45
"324","MO","base load generation","wind","wind_base",2025,0.31
"325","MS","base load generation","wind","wind_base",2025,0.27
"326","MT","base load generation","wind","wind_base",2025,0.36
"327","NC","base load generation","wind","wind_base",2025,0.35
"328","ND","base load generation","wind","wind_base",2025,0.34
"329","NE","base load generation","wind","wind_base",2025,0.36
"330","NH","base load generation","wind","wind_base",2025,0.38
"331","NJ","base load generation","wind","wind_base",2025,0.33
"332","NM","base load generation","wind","wind_base",2025,0.35
"333","NV","base load generation","wind","wind_base",2025,0.25
"334","NY","base load generation","wind","wind_base",2025,0.38
"335","OH","base load generation","wind","wind_base",2025,0.34
"336","OK","base load generation","wind","wind_base",2025,0.36
"337","OR","base load generation","wind","wind_base",2025,0.4
"338","PA","base load generation","wind","wind_base",2025,0.34
"339","RI","base load generation","wind","wind_base",2025,0.34
"340","SC","base load generation","wind","wind_base",2025,0.25
"341","SD","base load generation","wind","wind_base",2025,0.36
"342","TN","base load generation","wind","wind_base",2025,0.26
"343","TX","base load generation","wind","wind_base",2025,0.38
"344","UT","base load generation","wind","wind_base",2025,0.25
"345","VA","base load generation","wind","wind_base",2025,0.35
"346","VT","base load generation","wind","wind_base",2025,0.32
"347","WA","base load generation","wind","wind_base",2025,0.44
"348","WI","base load generation","wind","wind_base",2025,0.44
"349","WV","base load generation","wind","wind_base",2025,0.29
"350","WY","base load generation","wind","wind_base",2025,0.35
"351","AK","base load generation","wind","wind_base",2030,0.45
"352","AL","base load generation","wind","wind_base",2030,0.31
"353","AR","base load generation","wind","wind_base",2030,0.3
"354","AZ","base load generation","wind","wind_base",2030,0.26
"355","CA","base load generation","wind","wind_base",2030,0.44
"356","CO","base load generation","wind","wind_base",2030,0.34
"357","CT","base load generation","wind","wind_base",2030,0.44
"358","DE","base load generation","wind","wind_base",2030,0.33
"359","FL","base load generation","wind","wind_base",2030,0.38
"360","GA","base load generation","wind","wind_base",2030,0.24
"361","HI","base load generation","wind","wind_base",2030,0.29
"362","IA","base load generation","wind","wind_base",2030,0.33
"363","ID","base load generation","wind","wind_base",2030,0.26
"364","IL","base load generation","wind","wind_base",2030,0.38
"365","IN","base load generation","wind","wind_base",2030,0.32
"366","KS","base load generation","wind","wind_base",2030,0.35
"367","KY","base load generation","wind","wind_base",2030,0.26
"368","LA","base load generation","wind","wind_base",2030,0.41
"369","MA","base load generation","wind","wind_base",2030,0.44
"370","MD","base load generation","wind","wind_base",2030,0.37
"371","ME","base load generation","wind","wind_base",2030,0.41
"372","MI","base load generation","wind","wind_base",2030,0.45
"373","MN","base load generation","wind","wind_base",2030,0.45
"374","MO","base load generation","wind","wind_base",2030,0.31
"375","MS","base load generation","wind","wind_base",2030,0.27
"376","MT","base load generation","wind","wind_base",2030,0.36
"377","NC","base load generation","wind","wind_base",2030,0.35
"378","ND","base load generation","wind","wind_base",2030,0.34
"379","NE","base load generation","wind","wind_base",2030,0.36
"380","NH","base load generation","wind","wind_base",2030,0.38
"381","NJ","base load generation","wind","wind_base",2030,0.33
"382","NM","base load generation","wind","wind_base",2030,0.35
"383","NV","base load generation","wind","wind_base",2030,0.25
"384","NY","base load generation","wind","wind_base",2030,0.38
"385","OH","base load generation","wind","wind_base",2030,0.34
"386","OK","base load generation","wind","wind_base",2030,0.36
"387","OR","base load generation","wind","wind_base",2030,0.4
"388","PA","base load generation","wind","wind_base",2030,0.34
"389","RI","base load generation","wind","wind_base",2030,0.34
