"","region","supplysector","subsector0","subsector","year","capacity.factor","supplysector.y","technology","plant_type","cooling_system","water_type"
"243","AZ","base load generation","wind","wind_base",2050,0.43,"electricity","wind_base","no cooling","none","none"
"244","AZ","intermediate generation","wind","wind_int",2050,0.43,"electricity","wind_int","no cooling","none","none"
"245","AZ","subpeak generation","wind","wind_subpeak",2050,0.43,"electricity","wind_subpeak","no cooling","none","none"
"246","AZ","base load generation","wind","wind_base_storage",2050,0.43,"electricity","wind_base_storage","no cooling","none","none"
"247","AZ","base load generation","wind","wind_base",2055,0.43,"electricity","wind_base","no cooling","none","none"
"248","AZ","intermediate generation","wind","wind_int",2055,0.43,"electricity","wind_int","no cooling","none","none"
"249","AZ","subpeak generation","wind","wind_subpeak",2055,0.43,"electricity","wind_subpeak","no cooling","none","none"
"250","AZ","base load generation","wind","wind_base_storage",2055,0.43,"electricity","wind_base_storage","no cooling","none","none"
"251","AZ","base load generation","wind","wind_base",2060,0.43,"electricity","wind_base","no cooling","none","none"
"252","AZ","intermediate generation","wind","wind_int",2060,0.43,"electricity","wind_int","no cooling","none","none"
"253","AZ","subpeak generation","wind","wind_subpeak",2060,0.43,"electricity","wind_subpeak","no cooling","none","none"
"254","AZ","base load generation","wind","wind_base_storage",2060,0.43,"electricity","wind_base_storage","no cooling","none","none"
"255","AZ","base load generation","wind","wind_base",2065,0.43,"electricity","wind_base","no cooling","none","none"
"256","AZ","intermediate generation","wind","wind_int",2065,0.43,"electricity","wind_int","no cooling","none","none"
"257","AZ","subpeak generation","wind","wind_subpeak",2065,0.43,"electricity","wind_subpeak","no cooling","none","none"
"258","AZ","base load generation","wind","wind_base_storage",2065,0.43,"electricity","wind_base_storage","no cooling","none","none"
"259","AZ","base load generation","wind","wind_base",2070,0.43,"electricity","wind_base","no cooling","none","none"
"260","AZ","intermediate generation","wind","wind_int",2070,0.43,"electricity","wind_int","no cooling","none","none"
"261","AZ","subpeak generation","wind","wind_subpeak",2070,0.43,"electricity","wind_subpeak","no cooling","none","none"
"262","AZ","base load generation","wind","wind_base_storage",2070,0.43,"electricity","wind_base_storage","no cooling","none","none"
"263","AZ","base load generation","wind","wind_base",2075,0.43,"electricity","wind_base","no cooling","none","none"
