"","sector.name","subsector.name0","subsector.name","year","technology","input.capital","capital.overnight","fixed.charge.rate"
"239","base load generation","coal","coal_base_conv pul 1976-1980",1990,"coal (conv pul) (once through)","cooling system",6,0.15
"240","base load generation","coal","coal_base_conv pul 1976-1980",1990,"coal (conv pul) (seawater)","cooling system",6,0.15
"241","base load generation","coal","coal_base_conv pul 1976-1980",1990,"coal (conv pul) (recirculating)","cooling system",10,0.15
"242","base load generation","coal","coal_base_conv pul 1976-1980",1990,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"243","base load generation","coal","coal_base_conv pul 1976-1980",1990,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"244","base load generation","coal","coal_base_conv pul 1981-1985",1990,"coal (conv pul) (once through)","cooling system",6,0.15
"245","base load generation","coal","coal_base_conv pul 1981-1985",1990,"coal (conv pul) (seawater)","cooling system",6,0.15
"246","base load generation","coal","coal_base_conv pul 1981-1985",1990,"coal (conv pul) (recirculating)","cooling system",10,0.15
"247","base load generation","coal","coal_base_conv pul 1981-1985",1990,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"248","base load generation","coal","coal_base_conv pul 1981-1985",1990,"coal (conv pul) (dry cooling)","cooling system",62,0.15
